,caption,tables,Label,text,pred_0,pred_1,pred_2,all_pred,pii_tid,pii,date
0,XRF analysis of clinker and slag,"[['', 'Clinker', 'Slag'], ['Chemical composition (%)', 'Chemical composition (%)', 'Chemical composition (%)'], ['SiO2', '20.50', '42.29'], ['Al2O3', '5.66', '10.56'], ['Fe2O3', '3.87', '0.32'], ['CaO', '64.99', '37.35'], ['MgO', '2.43', '6.71'], ['K2O', '0.83', '0.94'], ['TiO2', '0.29', '0.45'], ['Mn2O3', '0.06', '1.67'], ['P2O5', '0.09', '0.011'], ['Cr2O3', '0.023', '0.012'], ['Na2O', '0.04', '0.18'], ['Loss on ignition', '0.5', '0.55'], ['Free lime', '-', '-'], ['Insoluble residue', '-', '-'], ['SO3', '-', '-'], ['', '', ''], ['Main composition (%) bogue', 'Main composition (%) bogue', 'Main composition (%) bogue'], ['C3S', '65.16', '-'], ['C2S', '9.82', '-'], ['C3A', '8.46', '-'], ['C4AF', '11.78', '-']]",1,"XRF analysis of clinker and slag;[['', 'Clinker', 'Slag'], ['Chemical composition (%)', 'Chemical composition (%)', 'Chemical composition (%)'], ['SiO2', '20.50', '42.29'], ['Al2O3', '5.66', '10.56'], ['Fe2O3', '3.87', '0.32'], ['CaO', '64.99', '37.35'], ['MgO', '2.43', '6.71'], ['K2O', '0.83', '0.94'], ['TiO2', '0.29', '0.45'], ['Mn2O3', '0.06', '1.67'], ['P2O5', '0.09', '0.011'], ['Cr2O3', '0.023', '0.012'], ['Na2O', '0.04', '0.18'], ['Loss on ignition', '0.5', '0.55'], ['Free lime', '-', '-'], ['Insoluble residue', '-', '-'], ['SO3', '-', '-'], ['', '', ''], ['Main composition (%) bogue', 'Main composition (%) bogue', 'Main composition (%) bogue'], ['C3S', '65.16', '-'], ['C2S', '9.82', '-'], ['C3A', '8.46', '-'], ['C4AF', '11.78', '-']]",1,1,1,3,S0008884600001976_0,S0008884600001976,2000-05-25
1,Chemical analysis and phase composition of ACSA clinker and OPC used. The corresponding mm is given.,"[['Chemical analysis (g/100 g)', 'Chemical analysis (g/100 g)', 'Chemical analysis (g/100 g)', 'Phase composition (g/100 g)', 'Phase composition (g/100 g)', 'Phase composition (g/100 g)', 'mm (cm2/g)'], ['', 'ACSA', 'OPC', '', 'ACSA', 'OPC', ''], ['CaO', '65.96', '61.44', 'C3S', '41.6', '65.8', '124.04'], ['SiO2', '20.59', '21.47', 'C2S', '36.9', '19.1', '36.03'], ['Al2O3', '5.22', '5.84', 'C3A', '7.2', '6.9', '31.69'], ['Fe2O3', '2.49', '2.85', 'C2(A,F)2O5', '3.7', '4.6', '214.90'], ['MgO', '1.02', '2.44', 'C4A3   S -', '1.3', '-', '28.60'], ['SO3', '3.45', '2.42', 'C  S -', '2.0', '-', '44.46'], ['K2O', '0.30', '0.59', 'C  S -  H2', '-', '1.0', '122.30'], ['Na2O', '0.19', '0.32', 'f-CaO', '0.6', '-', '24.97'], ['TiO2', '0.19', '0.32', 'ACn', '6.7', '2.6', '124.60'], ['H2O', '', '', 'Rwp', '8.0', '8.9', '10.07'], ['mm (cm2/g)', '98.68', '94.90', 'GoF', '1.8', '2.1', '']]",1,"Chemical analysis and phase composition of ACSA clinker and OPC used. The corresponding mm is given.;[['Chemical analysis (g/100 g)', 'Chemical analysis (g/100 g)', 'Chemical analysis (g/100 g)', 'Phase composition (g/100 g)', 'Phase composition (g/100 g)', 'Phase composition (g/100 g)', 'mm (cm2/g)'], ['', 'ACSA', 'OPC', '', 'ACSA', 'OPC', ''], ['CaO', '65.96', '61.44', 'C3S', '41.6', '65.8', '124.04'], ['SiO2', '20.59', '21.47', 'C2S', '36.9', '19.1', '36.03'], ['Al2O3', '5.22', '5.84', 'C3A', '7.2', '6.9', '31.69'], ['Fe2O3', '2.49', '2.85', 'C2(A,F)2O5', '3.7', '4.6', '214.90'], ['MgO', '1.02', '2.44', 'C4A3   S -', '1.3', '-', '28.60'], ['SO3', '3.45', '2.42', 'C  S -', '2.0', '-', '44.46'], ['K2O', '0.30', '0.59', 'C  S -  H2', '-', '1.0', '122.30'], ['Na2O', '0.19', '0.32', 'f-CaO', '0.6', '-', '24.97'], ['TiO2', '0.19', '0.32', 'ACn', '6.7', '2.6', '124.60'], ['H2O', '', '', 'Rwp', '8.0', '8.9', '10.07'], ['mm (cm2/g)', '98.68', '94.90', 'GoF', '1.8', '2.1', '']]",1,1,1,3,S0008884617300285_4,S0008884617300285,2018-02-16
2,Analysis of Portland cement used to produce the precursor materials.,"[['Oxide analysis', 'Oxide analysis', 'Oxide analysis', '', ''], ['Oxide', 'XRF', 'XRF', '', ''], ['Oxide', 'In cement', 'In clinker', '', ''], ['Oxide', 'wt%', 'wt%', '', ''], ['CaO', '63.61', '61.55', '', ''], ['SiO2', '21.34', '21.15', '', ''], ['Al2O3', '3.78', '3.68', '', ''], ['Fe2O3', '3.02', '3.02', '', ''], ['SO3', '2.84', '0.33', '', ''], ['MgO', '1.82', '1.82', '', ''], ['Na2O', '0.53', '0.53', '', ''], ['K2O', '0.45', '0.45', '', ''], ['TiO2', '0.33', '0.33', '', ''], ['P2O5', '0.19', '0.19', '', ''], ['MnO', '0.06', '0.06', '', ''], ['SrO', '0.15', '0.15', '', ''], ['ZnO', '0.01', '0.01', '', ''], ['Cr2O3', '0.01', '0.01', '', ''], ['LOI', '1.58', '', '', ''], ['Residue (est.)', '0.30', '', '', ''], ['Total', '100.00', '93.26', '', ''], ['Al2O3/Fe2O3', '', '1.25', '', ''], ['SO3/(Na2O+K2O)', '(Molar)', '0.30', '', ''], ['Ca/Si ratio', '', '2.91', '', ''], ['', '', '', '', ''], ['Phase composition', 'Phase composition', 'Phase composition', 'Phase composition', 'Phase composition'], ['Phase', 'QXRD', 'QXRD', 'QXRD', 'Modified Bogue'], ['Phase', '1 data', '2 data', 'Averg.', 'Modified Bogue'], ['Phase', 'wt%', 'wt%', 'wt%', 'wt%'], ['C3S', '67.47', '71.98', '69.72', '66.61'], ['C2S', '5.72', '6.45', '6.08', '10.66'], ['C4AF', '9.35', '9.37', '9.36', '7.52'], ['C3A', '7.59', '7.93', '7.76', '6.88'], ['Subtotal', '90.12', '95.73', '92.93', '91.67'], ['', '', '', '', ''], ['Periclase', '0.02', '0.13', '0.07', ''], ['Gypsum', '0.27', '0.47', '0.37', ''], ['Bassanite', '6.08', '3.10', '4.59', ''], ['Portlandite', '2.47', '0.56', '1.52', ''], ['Calcite', '1.04', '<0.01', '0.52', ''], ['Total', '100.00', '100.00', '100.00', ''], ['Expl. (%)', '92.00', '-', '', ''], ['Sigma', '1.766', '1.587', '', ''], ['Ca/Si ratio', '', '', '3.01', '']]",1,"Analysis of Portland cement used to produce the precursor materials.;[['Oxide analysis', 'Oxide analysis', 'Oxide analysis', '', ''], ['Oxide', 'XRF', 'XRF', '', ''], ['Oxide', 'In cement', 'In clinker', '', ''], ['Oxide', 'wt%', 'wt%', '', ''], ['CaO', '63.61', '61.55', '', ''], ['SiO2', '21.34', '21.15', '', ''], ['Al2O3', '3.78', '3.68', '', ''], ['Fe2O3', '3.02', '3.02', '', ''], ['SO3', '2.84', '0.33', '', ''], ['MgO', '1.82', '1.82', '', ''], ['Na2O', '0.53', '0.53', '', ''], ['K2O', '0.45', '0.45', '', ''], ['TiO2', '0.33', '0.33', '', ''], ['P2O5', '0.19', '0.19', '', ''], ['MnO', '0.06', '0.06', '', ''], ['SrO', '0.15', '0.15', '', ''], ['ZnO', '0.01', '0.01', '', ''], ['Cr2O3', '0.01', '0.01', '', ''], ['LOI', '1.58', '', '', ''], ['Residue (est.)', '0.30', '', '', ''], ['Total', '100.00', '93.26', '', ''], ['Al2O3/Fe2O3', '', '1.25', '', ''], ['SO3/(Na2O+K2O)', '(Molar)', '0.30', '', ''], ['Ca/Si ratio', '', '2.91', '', ''], ['', '', '', '', ''], ['Phase composition', 'Phase composition', 'Phase composition', 'Phase composition', 'Phase composition'], ['Phase', 'QXRD', 'QXRD', 'QXRD', 'Modified Bogue'], ['Phase', '1 data', '2 data', 'Averg.', 'Modified Bogue'], ['Phase', 'wt%', 'wt%', 'wt%', 'wt%'], ['C3S', '67.47', '71.98', '69.72', '66.61'], ['C2S', '5.72', '6.45', '6.08', '10.66'], ['C4AF', '9.35', '9.37', '9.36', '7.52'], ['C3A', '7.59', '7.93', '7.76', '6.88'], ['Subtotal', '90.12', '95.73', '92.93', '91.67'], ['', '', '', '', ''], ['Periclase', '0.02', '0.13', '0.07', ''], ['Gypsum', '0.27', '0.47', '0.37', ''], ['Bassanite', '6.08', '3.10', '4.59', ''], ['Portlandite', '2.47', '0.56', '1.52', ''], ['Calcite', '1.04', '<0.01', '0.52', ''], ['Total', '100.00', '100.00', '100.00', ''], ['Expl. (%)', '92.00', '-', '', ''], ['Sigma', '1.766', '1.587', '', ''], ['Ca/Si ratio', '', '', '3.01', '']]",1,1,1,3,S000888461730056X_2,S000888461730056X,2017-08-25
3,"The mineral composition of cement CEM I 52.5N, % by weight (calculated by the modified Bogue equation [19]).","[['Compound', 'C3S', 'C2S', 'C3A', 'C4AF'], ['Weight (%)', '63.77', '9.24', '8.18', '9.13']]",1,"The mineral composition of cement CEM I 52.5N, % by weight (calculated by the modified Bogue equation [19]).;[['Compound', 'C3S', 'C2S', 'C3A', 'C4AF'], ['Weight (%)', '63.77', '9.24', '8.18', '9.13']]",1,1,1,3,S0008884615301769_1,S0008884615301769,2017-04-18
4,Phase composition of white clinkers (WCl) and their main chemical parameters.,"[['', 'WCl-0P', 'WCl-3P'], ['', '[wt.%]', '[wt.%]'], ['P2O5 content', '0.05', '3.07'], ['C3S', '62.6', '45.0'], ['C2S', '13.5', '33.3'], ['C3A', '22.9', '18.7'], ['C4AF', '0.1', '0.3'], ['Cvol', '1.0', '2.7'], ['C3Seq.', '66.8', '56.4'], ['C2Seq.', '10.2', '24.6'], ['SLP', '96.2', '101.8'], ['Ms', '2.82', '2.38'], ['Ma', '11.00', '13.20']]",1,"Phase composition of white clinkers (WCl) and their main chemical parameters.;[['', 'WCl-0P', 'WCl-3P'], ['', '[wt.%]', '[wt.%]'], ['P2O5 content', '0.05', '3.07'], ['C3S', '62.6', '45.0'], ['C2S', '13.5', '33.3'], ['C3A', '22.9', '18.7'], ['C4AF', '0.1', '0.3'], ['Cvol', '1.0', '2.7'], ['C3Seq.', '66.8', '56.4'], ['C2Seq.', '10.2', '24.6'], ['SLP', '96.2', '101.8'], ['Ms', '2.82', '2.38'], ['Ma', '11.00', '13.20']]",1,1,1,3,S0008884615302295_3,S0008884615302295,2016-11-28
5,Phase composition of equilibrium burned clinkers without Al2O3 (wt.%).,"[['', 'C-F-0P', 'C-F-1P', 'C-F-3P', 'C-F-5P'], ['', '[wt.%]', '[wt.%]', '[wt.%]', '[wt.%]'], ['C3S', '65.2', '63.3', '32.3', '0.0'], ['C2S', '16.5', '19.6', '46.5', '77.0'], ['C2F', '18.3', '17.1', '16.0', '11.3'], ['f-C', '0.0', '0.0', '5.2', '11.7'], ['C3Seq.', '65.2', '63.3', '54.2', '49.4'], ['C2Seq.', '16.5', '19.6', '29.8', '39.3']]",1,"Phase composition of equilibrium burned clinkers without Al2O3 (wt.%).;[['', 'C-F-0P', 'C-F-1P', 'C-F-3P', 'C-F-5P'], ['', '[wt.%]', '[wt.%]', '[wt.%]', '[wt.%]'], ['C3S', '65.2', '63.3', '32.3', '0.0'], ['C2S', '16.5', '19.6', '46.5', '77.0'], ['C2F', '18.3', '17.1', '16.0', '11.3'], ['f-C', '0.0', '0.0', '5.2', '11.7'], ['C3Seq.', '65.2', '63.3', '54.2', '49.4'], ['C2Seq.', '16.5', '19.6', '29.8', '39.3']]",1,1,1,3,S0008884615302295_9,S0008884615302295,2016-11-28
6,Phase composition of equilibrium burned clinkers without Fe2O3 (wt.%).,"[['', 'C-A-0P', 'C-A-1P', 'C-A-3P', 'C-A-5P'], ['C3S', '57.5', '56.7', '51.3', '2.5'], ['C2S', '22.0', '23.3', '29.1', '74.4'], ['C3A', '20.5', '20.0', '19.1', '13.1'], ['f-C', '0.0', '0.0', '0.5', '10.0'], ['C3Seq.', '57.5', '56.7', '53.4', '44.7'], ['C2Seq.', '22.0', '23.3', '27.5', '42.2']]",1,"Phase composition of equilibrium burned clinkers without Fe2O3 (wt.%).;[['', 'C-A-0P', 'C-A-1P', 'C-A-3P', 'C-A-5P'], ['C3S', '57.5', '56.7', '51.3', '2.5'], ['C2S', '22.0', '23.3', '29.1', '74.4'], ['C3A', '20.5', '20.0', '19.1', '13.1'], ['f-C', '0.0', '0.0', '0.5', '10.0'], ['C3Seq.', '57.5', '56.7', '53.4', '44.7'], ['C2Seq.', '22.0', '23.3', '27.5', '42.2']]",1,1,1,3,S0008884615302295_10,S0008884615302295,2016-11-28
7,"Particle size and mineralogical composition in weight (%) of the four investigated binders as obtained by means of semi-quantitative Rietveld refinement on XRD patterns; as minor phase, periclase (MgO) and dolomite (MgCO3) were detected in all the samples.","[['', '', '', 'IT-SX01', 'US-SX01', 'IT-SA01', 'IT-MIX'], ['Particle size', 'Residue 8mm (%)', '', '51,5', '54,2', '52,2', '50,6'], ['Particle size', 'Residue 24mm (%)', '', '28,9', '23,0', '22,7', '18,4'], ['Particle size', 'Residue 40mm (%)', '', '5,6', '2,7', '3,3', '3,2'], ['Mineralogical composition', 'C3S (alite)', 'ICDD 31-0331', '-', '-', '-', '40.0'], ['Mineralogical composition', 'C2S (belite)', 'ICDD 33-0302', '26.6', '6.0', '20.6', '11.2'], ['Mineralogical composition', 'C3A', 'ICDD 38-1429', '9.0', '7.2', '6.7', '7.4'], ['Mineralogical composition', 'C4AF', 'ICDD 30-0256', '1.1', '-', '1.4', '4.3'], ['Mineralogical composition', ""C 4   A 3   S -   (ye'elimite)"", 'ICDD 30-0256', '54.7', '70.9', '45.1', '19.1'], ['Mineralogical composition', 'C2AS (gehlenite)', 'ICDD 35-0755', '3.1', '7.6', '1.5', '0.8'], ['Mineralogical composition', 'C  S -   (anhydrite)', 'ICDD 37-1496', '3.9', '6.3', '23.2', '15.9'], ['Mineralogical composition', 'C  S -   H 2   (gypsum)', 'ICDD 36-0432', '-', '-', '-', '1.3'], ['Mineralogical composition', 'Minor phases', '-', '1.6', '2.0', '1.5', '0.8']]",1,"Particle size and mineralogical composition in weight (%) of the four investigated binders as obtained by means of semi-quantitative Rietveld refinement on XRD patterns; as minor phase, periclase (MgO) and dolomite (MgCO3) were detected in all the samples.;[['', '', '', 'IT-SX01', 'US-SX01', 'IT-SA01', 'IT-MIX'], ['Particle size', 'Residue 8mm (%)', '', '51,5', '54,2', '52,2', '50,6'], ['Particle size', 'Residue 24mm (%)', '', '28,9', '23,0', '22,7', '18,4'], ['Particle size', 'Residue 40mm (%)', '', '5,6', '2,7', '3,3', '3,2'], ['Mineralogical composition', 'C3S (alite)', 'ICDD 31-0331', '-', '-', '-', '40.0'], ['Mineralogical composition', 'C2S (belite)', 'ICDD 33-0302', '26.6', '6.0', '20.6', '11.2'], ['Mineralogical composition', 'C3A', 'ICDD 38-1429', '9.0', '7.2', '6.7', '7.4'], ['Mineralogical composition', 'C4AF', 'ICDD 30-0256', '1.1', '-', '1.4', '4.3'], ['Mineralogical composition', ""C 4   A 3   S -   (ye'elimite)"", 'ICDD 30-0256', '54.7', '70.9', '45.1', '19.1'], ['Mineralogical composition', 'C2AS (gehlenite)', 'ICDD 35-0755', '3.1', '7.6', '1.5', '0.8'], ['Mineralogical composition', 'C  S -   (anhydrite)', 'ICDD 37-1496', '3.9', '6.3', '23.2', '15.9'], ['Mineralogical composition', 'C  S -   H 2   (gypsum)', 'ICDD 36-0432', '-', '-', '-', '1.3'], ['Mineralogical composition', 'Minor phases', '-', '1.6', '2.0', '1.5', '0.8']]",1,1,1,3,S0008884615302349_0,S0008884615302349,2016-10-07
8,Mineralogical composition in weight (%) of the four investigated binders at different aging times considered as obtained by means semi-quantitative Rietveld refinement on XRD patterns. Data are normalized to 100 after excluding the contribution of TiO2 (internal standard).,"[['', 'Beginning', '6h', '1day', '7days', '28days', '90days'], ['IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01'], ['C2S', '18.7', '9.4', '9.6', '9.0', '9.2', '8.8'], [""Ye'elimite"", '38.5', '8.5', '6.4', '3.7', '3.2', '3.2'], ['C3A', '7.1', '3.1', '3.0', '2.8', '2.8', '2.9'], ['Ettringite', '0.0', '20.0', '23.2', '26.4', '27.8', '27.2'], ['Anhydrite', '2.7', '-', '-', '-', '-', '-'], ['Gibbsite', '-', '-', '0.2', '1.9', '1.7', '1.7'], ['Amorphous phases', '29.6', '56.2', '55.0', '53.7', '53.3', '53.7'], ['Minor phases', '3.3', '2.6', '3.3', '2.5', '2.6', '2.6'], ['', '', '', '', '', '', ''], ['US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01'], ['C2S', '4.2', '1.8', '2.0', '2.1', '2.0', '2.3'], [""Ye'elimite"", '49.9', '25.9', '18.0', '12.7', '11.9', '12.0'], ['C3A', '5.1', '3.4', '3.0', '2.6', '2.6', '2.6'], ['Ettringite', '-', '9.4', '17.8', '23.1', '23.0', '23.1'], ['Anhydrite', '4.4', '1.5', '-', '-', '-', '-'], ['Gibbsite', '-', '-', '1.2', '8.1', '10.1.', '10.1'], ['Amorphous phases', '29.6', '51.1', '55.1', '48.3', '47.5', '46.2'], ['Minor phases', '6.8', '3.6', '3.0', '3.0', '3.0', '2.9'], ['', '', '', '', '', '', ''], ['IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01'], ['C2S', '14.5', '9.1', '9.3', '8.8', '8.7', '9.1'], [""Ye'elimite"", '31.7', '8.2', '6.2', '3.6', '3.2', '3.3'], ['C3A', '5.7', '3.0', '2.9', '2.8', '2.8', '2.8'], ['Ettringite', '-', '19.3', '22.5', '25.8', '26.6', '27.7'], ['Anhydrite', '16.3', '3.5', '3.0', '2.0', '2.0', '2.0'], ['Gibbsite', '0', '0.2', '0.2', '1.9', '1.6', '1.7'], ['Amorphous phases', '29.6', '54.2', '53.4', '52.7', '52.6', '50.7'], ['Minor phases', '2.0', '2.6', '2.5', '2.5', '2.5', '2.7'], ['', '', '', '', '', '', ''], ['IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX'], ['C2S+C3S', '36.0', '24.7', '24.1', '23.2', '23.3', '22.6'], [""Ye'elimite"", '13.5', '2.4', '0.5', '0.3', '-', '-'], ['C3A', '8.5', '3.2', '3.5', '3.3', '3.4', '3.2'], ['Ettringite', '-', '25.3', '29.9', '26.3', '24.1', '16.5'], ['Anhydrite', '11.6', '1.3', '1.3', '1.0', '1.1', '-'], ['Stratlingite', '-', '-', '-', '-', '1.8', '1.0'], ['Crystalline C-S-H', '-', '-', '-', '-', '1.9', '8.0'], ['Amorphous phases', '29.6', '41.4', '39.0', '44.1', '43.7', '46.5'], ['Minor phases', '0.7', '1.6', '1.7', '1.9', '1.3', '1.5']]",1,"Mineralogical composition in weight (%) of the four investigated binders at different aging times considered as obtained by means semi-quantitative Rietveld refinement on XRD patterns. Data are normalized to 100 after excluding the contribution of TiO2 (internal standard).;[['', 'Beginning', '6h', '1day', '7days', '28days', '90days'], ['IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01', 'IT-SX01'], ['C2S', '18.7', '9.4', '9.6', '9.0', '9.2', '8.8'], [""Ye'elimite"", '38.5', '8.5', '6.4', '3.7', '3.2', '3.2'], ['C3A', '7.1', '3.1', '3.0', '2.8', '2.8', '2.9'], ['Ettringite', '0.0', '20.0', '23.2', '26.4', '27.8', '27.2'], ['Anhydrite', '2.7', '-', '-', '-', '-', '-'], ['Gibbsite', '-', '-', '0.2', '1.9', '1.7', '1.7'], ['Amorphous phases', '29.6', '56.2', '55.0', '53.7', '53.3', '53.7'], ['Minor phases', '3.3', '2.6', '3.3', '2.5', '2.6', '2.6'], ['', '', '', '', '', '', ''], ['US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01', 'US-SX01'], ['C2S', '4.2', '1.8', '2.0', '2.1', '2.0', '2.3'], [""Ye'elimite"", '49.9', '25.9', '18.0', '12.7', '11.9', '12.0'], ['C3A', '5.1', '3.4', '3.0', '2.6', '2.6', '2.6'], ['Ettringite', '-', '9.4', '17.8', '23.1', '23.0', '23.1'], ['Anhydrite', '4.4', '1.5', '-', '-', '-', '-'], ['Gibbsite', '-', '-', '1.2', '8.1', '10.1.', '10.1'], ['Amorphous phases', '29.6', '51.1', '55.1', '48.3', '47.5', '46.2'], ['Minor phases', '6.8', '3.6', '3.0', '3.0', '3.0', '2.9'], ['', '', '', '', '', '', ''], ['IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01', 'IT-SA01'], ['C2S', '14.5', '9.1', '9.3', '8.8', '8.7', '9.1'], [""Ye'elimite"", '31.7', '8.2', '6.2', '3.6', '3.2', '3.3'], ['C3A', '5.7', '3.0', '2.9', '2.8', '2.8', '2.8'], ['Ettringite', '-', '19.3', '22.5', '25.8', '26.6', '27.7'], ['Anhydrite', '16.3', '3.5', '3.0', '2.0', '2.0', '2.0'], ['Gibbsite', '0', '0.2', '0.2', '1.9', '1.6', '1.7'], ['Amorphous phases', '29.6', '54.2', '53.4', '52.7', '52.6', '50.7'], ['Minor phases', '2.0', '2.6', '2.5', '2.5', '2.5', '2.7'], ['', '', '', '', '', '', ''], ['IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX', 'IT-MIX'], ['C2S+C3S', '36.0', '24.7', '24.1', '23.2', '23.3', '22.6'], [""Ye'elimite"", '13.5', '2.4', '0.5', '0.3', '-', '-'], ['C3A', '8.5', '3.2', '3.5', '3.3', '3.4', '3.2'], ['Ettringite', '-', '25.3', '29.9', '26.3', '24.1', '16.5'], ['Anhydrite', '11.6', '1.3', '1.3', '1.0', '1.1', '-'], ['Stratlingite', '-', '-', '-', '-', '1.8', '1.0'], ['Crystalline C-S-H', '-', '-', '-', '-', '1.9', '8.0'], ['Amorphous phases', '29.6', '41.4', '39.0', '44.1', '43.7', '46.5'], ['Minor phases', '0.7', '1.6', '1.7', '1.9', '1.3', '1.5']]",1,0,1,2,S0008884615302349_2,S0008884615302349,2016-10-07
9,Mineralogical composition (wt.%) of the white Portland cements. a,"[['', 'wPc-A', 'wPc-B'], ['Alite', '74.0', '64.9'], ['Belite', '18.4', '16.9'], ['C3A', '3.1', '7.9'], ['Free lime', '0.25', '1.91'], ['Calcite', '0.25', '3.08'], ['CaSO4', '3.10', '4.11'], ['Sum', '99.1', '98.8']]",1,"Mineralogical composition (wt.%) of the white Portland cements. a;[['', 'wPc-A', 'wPc-B'], ['Alite', '74.0', '64.9'], ['Belite', '18.4', '16.9'], ['C3A', '3.1', '7.9'], ['Free lime', '0.25', '1.91'], ['Calcite', '0.25', '3.08'], ['CaSO4', '3.10', '4.11'], ['Sum', '99.1', '98.8']]",1,1,1,3,S000888461530243X_1,S000888461530243X,2016-05-07
