,PII,SMT,APL,MAT,PRO,DSC,CMT,SPL
0,S0008884600001976,"['Grinding', 'grinding']",['blast furnace slag cements'],"['BFC', 'BFC']","['Bond grindability', 'specific rate of breakage', 'breakage distributions', 'Strength']",['mortar'],[],[]
1,S0008884600001988,['calcination'],['FABC cements'],"['fly ash', 'belite cement', 'FABC', 'iron', 'fly ash', 'fly ash']","['mechanical', 'microstructure parameters', 'Pore - size distribution', 'microstructure', 'mechanical', 'microstructure']",['mortars'],"['mercury intrusion porosimetry', 'scanning electron microscopy', 'SEM']",[]
2,S000888460000199X,"['Aerated', 'autoclaving', 'hydration', 'aerated']","['autoclaved aerated concrete', 'AAC']","['concrete', 'cement', 'sand', 'fly ash', 'fly ash', 'fly ash', 'fly ash', 'concrete', 'concrete']","['density', 'compressive strength', 'drying shrinkage', 'microstructure', 'Hadley grains', 'interfacial transition zone']","['paste', 'interface', 'paste', 'interface']","['Compositional analysis', 'XRD']",[]
3,S0008884600002003,"['curing', 'Autoclaving', 'steam curing', 'curing', 'curing', 'Steam curing', 'curing', 'autoclave curing', 'curing']",['slag cement concrete'],"['concrete', 'cement', 'concrete']","['mechanical properties', 'compressive', 'tensile strength', 'transport properties', 'chloride permeability', 'chloride penetration', 'microstructural properties', 'pore structure', 'phase composition', 'strength', 'compressive strength', 'compressive strength', 'Chloride permeability', 'penetrability', 'pore diameter', 'current', 'IC']",[],"['rapid chloride permeability test', 'RCPT']",[]
4,S0008884600002015,"['finely ground', 'finely ground']",[],"['cement', 'limestone', 'silica fume', 'travertine sand', 'quartz', 'glass', 'limestone', 'cement', 'cement', 'travertine sand', 'travertine']",['particle size'],"['pastes', 'mortars', 'sand', 'balls', 'layers', 'pastes', 'mortars']",['visual inspection'],[]
5,S0008884600002027,['fired'],"['pozzolan', 'tile']","['cement', 'tile', 'tile', 'Portland cement', 'tile', 'cement', 'tiles', 'cement', 'tile', 'cement', 'tile']","['Pozzolanic properties', 'setting time', 'volume stability', 'particle size', 'density', 'specific surface area', 'strength', 'pozzolanic properties', 'chemical', 'physical properties']","['ceramic tile', 'tiles', 'tiles']",[],[]
6,S0008884600002039,"['cured', 'curing']",[],"['metakaolin', 'MK', 'MK', 'MK', 'MK', 'OPC', 'Ca(OH)2']","['microstructure', 'water / binder ratio', 'capillary', 'gel porosity', 'degree of hydration', 'porosity', 'degree of hydration']","['pastes', 'Pastes', 'paste']","['differential thermal analysis', 'DTA', 'thermogravimetry', 'TG']",[]
7,S0008884600002040,[],[],"['carbon', 'concrete']","['DC electrical resistance', 'modulus', 'resistance', 'modulus', 'resistance', 'resistance']",['fiber - reinforced'],[],[]
8,S0008884600002052,[],[],"['Cement', 'steel', 'steel', 'cement', 'cement', 'cement', 'carbon']","['electron conduction', 'absolute thermoelectric power', 'thermoelectric power', 'Seebeck voltage', 'hole conduction', 'thermoelectric power']","['pastes', 'fibers', 'fiber', 'pastes', 'fibers']",[],[]
9,S0008884600002064,"['pulverize', 'TEDDI']",['cementitious systems'],"['concrete', 'concrete', 'Concrete', 'concrete', 'concrete', 'concrete', 'cement paste', 'concrete']","['compositional', 'structural information', 'penetration depth']","['bulk', 'blocks', 'prism', 'powders', 'aggregate interface']","['TEDDI', 'tomographic energy - dispersive diffraction imaging', 'Synchrotron radiation energy - dispersive diffraction tomography', 'whole - rock mineral analysis', 'composition mapping', 'synchrotron X-ray diffraction', 'TEDDI', 'diffraction', 'spectroscopic sensing', 'X-ray diffraction', 'diffraction', 'microscopy']",[]
